,id,commonName,borough,latitude,longitude,NbBikes,EmptyDocks,NbDocks
102,BikePoints_458,Wapping Lane, Wapping,51.504749,-0.057544,21,1,22
103,BikePoints_459,Gunmakers Lane, Old Ford,51.535179,-0.03338,12,3,15
104,BikePoints_460,Burdett Road, Mile End,51.516196,-0.029138,27,4,31
105,BikePoints_461,Aston Street, Stepney,51.516,-0.038775,24,2,26
106,BikePoints_462,Bonny Street, Camden Town,51.541603,-0.138853,40,2,42
107,BikePoints_463,Thurtle Road, Haggerston,51.534776,-0.071881,20,1,21
108,BikePoints_464,St. Mary & St. Michael Church, Stepney,51.51417,-0.052099,12,13,25
109,BikePoints_465,Pitfield Street North,Hoxton,51.53558,-0.08249,7,16,23
110,BikePoints_466,Whiston Road, Haggerston,51.534464,-0.076341,9,7,16
111,BikePoints_467,Southern Grove, Bow,51.523538,-0.030556,7,9,16
112,BikePoints_468,Cantrell Road, Bow,51.521564,-0.022694,11,11,22
113,BikePoints_469,Lindfield Street, Poplar,51.513757,-0.020467,12,26,38
114,BikePoints_470,Mostyn Grove, Bow,51.530535,-0.025492,18,23,41
115,BikePoints_471,Hewison Street, Old Ford,51.533283,-0.028155,8,3,11
116,BikePoints_472,Malmesbury Road, Bow,51.529452,-0.027616,12,7,19
117,BikePoints_473,Millharbour, Millwall,51.496137,-0.019355,15,1,16
118,BikePoints_474,Gascoyne Road, Victoria Park,51.541515,-0.038557,12,6,18
119,BikePoints_475,Lightermans Road, Millwall,51.499041,-0.020157,7,23,30
120,BikePoints_476,Stebondale Street, Cubitt Town,51.489096,-0.009205,14,14,28
121,BikePoints_477,Spindrift Avenue, Millwall,51.49109,-0.018716,11,22,33
122,BikePoints_478,Stepney Green Station, Stepney,51.521889,-0.04667,0,16,16
123,BikePoints_479,Pott Street, Bethnal Green,51.527152,-0.058005,7,7,14
124,BikePoints_480,Flamborough Street, Limehouse,51.512871,-0.038986,17,8,25
125,BikePoints_481,Saunders Ness Road, Cubitt Town,51.487129,-0.009001,18,13,31
126,BikePoints_482,Exhibition Road Museums 2, South Kensington,51.495947,-0.173689,1,13,14
127,BikePoints_483,Albert Gardens, Stepney,51.51328,-0.047784,16,16,32
128,BikePoints_484,Bromley High Street, Bow,51.528828,-0.013258,19,4,23
129,BikePoints_485,Old Ford Road, Bethnal Green,51.531127,-0.048017,18,7,25
130,BikePoints_486,Granby Street, Shoreditch,51.525645,-0.069543,3,34,37
131,BikePoints_487,Canton Street, Poplar,51.511811,-0.025626,3,19,22
132,BikePoints_488,Reardon Street, Wapping,51.506946,-0.058681,9,9,18
133,BikePoints_490,Pennington Street, Wapping,51.508622,-0.065006,15,28,43
134,BikePoints_491,Queen Mary's, Mile End,51.522507,-0.041378,7,35,42
135,BikePoints_492,Maplin Street, Mile End,51.525501,-0.032267,8,34,42
136,BikePoints_494,South Quay East, Canary Wharf,51.50196,-0.016251,14,21,35
137,BikePoints_495,Bow Church Station, Bow,51.528169,-0.018703,11,25,36
138,BikePoints_496,Devons Road, Bow,51.52512,-0.015578,35,5,40
139,BikePoints_497,Merchant Street, Bow,51.526578,-0.027581,20,4,24
140,BikePoints_498,Bow Road Station, Bow,51.527058,-0.025296,22,18,40
141,BikePoints_499,Furze Green, Bow,51.519265,-0.021345,10,18,28
142,BikePoints_500,Ansell House, Stepney,51.520019,-0.05438,16,24,40
